0.232199546,1
2.507755102,2
4.794920635,3
7.082086168,4
9.357641723,5
11.644807256,6
13.931972789,7
16.219138322,8
18.506303855,9
20.793469388,10
23.080634921,11
25.367800454,12
27.643356009,13
29.930521542,14
32.217687075,15
34.504852608,16
36.792018141,17
39.079183673,18
41.366349206,19
43.653514739,20
45.929070295,21
48.216235828,22
50.503401361,23
52.790566893,24
55.077732426,25
57.364897959,26
59.652063492,27
61.939229025,28
64.226394558,29
66.501950113,30
68.789115646,31
71.076281179,32
73.363446712,33
75.650612245,34
77.937777778,35
80.224943311,36
82.500498866,37
84.787664399,38
87.074829932,39
89.361995465,40
91.649160998,41
93.936326531,42
96.223492063,43
98.499047619,44
100.786213152,45
103.084988662,46
105.360544218,47
107.647709751,48
109.934875283,49
112.222040816,50
114.497596372,51
